Category,"Mar. 30, 2019 (3 Months Ended)","Mar. 31, 2018 (3 Months Ended)","Mar. 30, 2019 (6 Months Ended)","Mar. 31, 2018 (6 Months Ended)"
Net sales,58015.0,61137.0,142325.0,149430.0
Cost of sales,36194.0,37715.0,88473.0,92096.0
Gross margin,21821.0,23422.0,53852.0,57334.0
Research and development,3948.0,3378.0,7850.0,6785.0
"Selling, general and administrative",4458.0,4150.0,9241.0,8381.0
Total operating expenses,8406.0,7528.0,17091.0,15166.0
Operating income,13415.0,15894.0,36761.0,42168.0
"Other income/(expense), net",378.0,274.0,938.0,1030.0
Income before provision for income taxes,13793.0,16168.0,37699.0,43198.0
Provision for income taxes,2232.0,2346.0,6173.0,9311.0
Net income,11561.0,13822.0,31526.0,33887.0
Basic (in dollars per share),2.47,2.75,6.7,6.69
Diluted (in dollars per share),2.46,2.73,6.66,6.63
Basic (in shares),4674071.0,5024877.0,4704945.0,5068877.0
Diluted (in shares),4700646.0,5068493.0,4736949.0,5113140.0
Products,,,,
Net sales,46565.0,51287.0,120000.0,130451.0
Cost of sales,32047.0,33936.0,80285.0,84511.0
Services,,,,
Net sales,11450.0,9850.0,22325.0,18979.0
Cost of sales,4147.0,3779.0,8188.0,7585.0
