Category,"Dec. 25, 2021 (3 Months Ended)","Dec. 26, 2020 (3 Months Ended)"
Net sales,123945.0,111439.0
Cost of sales,69702.0,67111.0
Gross margin,54243.0,44328.0
Research and development,6306.0,5163.0
"Selling, general and administrative",6449.0,5631.0
Total operating expenses,12755.0,10794.0
Operating income,41488.0,33534.0
"Other income/(expense), net",-247.0,45.0
Income before provision for income taxes,41241.0,33579.0
Provision for income taxes,6611.0,4824.0
Net income,34630.0,28755.0
Basic (in dollars per share),2.11,1.7
Diluted (in dollars per share),2.1,1.68
Basic (in shares),16391724.0,16935119.0
Diluted (in shares),16519291.0,17113688.0
Products,,
Net sales,104429.0,95678.0
Cost of sales,64309.0,62130.0
Services,,
Net sales,19516.0,15761.0
Cost of sales,5393.0,4981.0
