Category,Total (3 Months Ended),Common stock and additional paid-in capital (3 Months Ended),Retained earnings (3 Months Ended),"Retained earnings 
Cumulative effect of change in accounting principle (3 Months Ended)",Accumulated other comprehensive income/(loss) (3 Months Ended),"Accumulated other comprehensive income/(loss) 
Cumulative effect of change in accounting principle (3 Months Ended)"
"Beginning balances at Sep. 28, 2019",90488.0,45174.0,45898.0,-136.0,-584.0,136.0
Common stock issued,,430.0,,,,
Common stock withheld related to net share settlement of equity awards,,-2123.0,-1320.0,,,
Share-based compensation,,5215.0,,,,
Net income,44738.0,,44738.0,,,
Dividends and dividend equivalents declared,,,-10528.0,,,
Common stock repurchased,,,-54516.0,,,
Other comprehensive income/(loss),-102.0,,,,-102.0,
"Ending balances at Jun. 27, 2020",72282.0,48696.0,24136.0,,-550.0,
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.59,,,,,
"Beginning balances at Mar. 28, 2020",78425.0,48032.0,33182.0,0.0,-2789.0,0.0
Common stock issued,,0.0,,,,
Common stock withheld related to net share settlement of equity awards,,-1071.0,-688.0,,,
Share-based compensation,,1735.0,,,,
Net income,11253.0,,11253.0,,,
Dividends and dividend equivalents declared,,,-3611.0,,,
Common stock repurchased,,,-16000.0,,,
Other comprehensive income/(loss),2239.0,,,,2239.0,
"Ending balances at Jun. 27, 2020",72282.0,48696.0,24136.0,,-550.0,
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.205,,,,,
"Beginning balances at Sep. 26, 2020",65339.0,50779.0,14966.0,0.0,-406.0,0.0
Common stock issued,,561.0,,,,
Common stock withheld related to net share settlement of equity awards,,-2460.0,-3606.0,,,
Share-based compensation,,6109.0,,,,
Net income,74129.0,,74129.0,,,
Dividends and dividend equivalents declared,,,-10755.0,,,
Common stock repurchased,-65500.0,,-65501.0,,,
Other comprehensive income/(loss),464.0,,,,464.0,
"Ending balances at Jun. 26, 2021",64280.0,54989.0,9233.0,,58.0,
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.63,,,,,
"Beginning balances at Mar. 27, 2021",69178.0,54203.0,15261.0,0.0,-286.0,0.0
Common stock issued,,0.0,,,,
Common stock withheld related to net share settlement of equity awards,,-1224.0,-1559.0,,,
Share-based compensation,,2010.0,,,,
Net income,21744.0,,21744.0,,,
Dividends and dividend equivalents declared,,,-3713.0,,,
Common stock repurchased,,,-22500.0,,,
Other comprehensive income/(loss),344.0,,,,344.0,
"Ending balances at Jun. 26, 2021",64280.0,54989.0,9233.0,,58.0,
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.22,,,,,
