Category,"Dec. 28, 2019 (3 Months Ended)","Dec. 29, 2018 (3 Months Ended)"
Net sales,91819.0,84310.0
Cost of sales,56602.0,52279.0
Gross margin,35217.0,32031.0
Research and development,4451.0,3902.0
"Selling, general and administrative",5197.0,4783.0
Total operating expenses,9648.0,8685.0
Operating income,25569.0,23346.0
"Other income/(expense), net",349.0,560.0
Income before provision for income taxes,25918.0,23906.0
Provision for income taxes,3682.0,3941.0
Net income,22236.0,19965.0
Basic (in dollars per share),5.04,4.22
Diluted (in dollars per share),4.99,4.18
Basic (in shares),4415040.0,4735820.0
Diluted (in shares),4454604.0,4773252.0
Products,,
Net sales,79104.0,73435.0
Cost of sales,52075.0,48238.0
Services,,
Net sales,12715.0,10875.0
Cost of sales,4527.0,4041.0
