Category,Total (3 Months Ended),Common stock and additional paid-in capital (3 Months Ended),Retained earnings (3 Months Ended),Accumulated other comprehensive income/(loss) (3 Months Ended)
"Beginning balances at Sep. 29, 2018",107147.0,40201.0,70400.0,-3454.0
Common stock issued,,0.0,,
Common stock withheld related to net share settlement of equity awards,,-822.0,-594.0,
Share-based compensation,,1591.0,,
Net income,19965.0,,19965.0,
Dividends and dividend equivalents declared,,,-3526.0,
Common stock repurchased,,,-8236.0,
Other comprehensive income/(loss),-223.0,,,-223.0
"Ending balances at Dec. 29, 2018",117892.0,40970.0,80510.0,-3588.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.73,,,
"Beginning balances at Sep. 28, 2019",90488.0,45174.0,45898.0,-584.0
Common stock issued,,2.0,,
Common stock withheld related to net share settlement of equity awards,,-951.0,-536.0,
Share-based compensation,,1747.0,,
Net income,22236.0,,22236.0,
Dividends and dividend equivalents declared,,,-3485.0,
Common stock repurchased,-20000.0,,-20000.0,
Other comprehensive income/(loss),30.0,,,30.0
"Ending balances at Dec. 28, 2019",89531.0,45972.0,43977.0,-418.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.77,,,
