Category,"Dec. 26, 2020 (3 Months Ended)","Dec. 28, 2019 (3 Months Ended)"
"Cash, cash equivalents and restricted cash, beginning balances",39789.0,50224.0
Net income,28755.0,22236.0
Depreciation and amortization,2666.0,2816.0
Share-based compensation expense,2020.0,1710.0
Deferred income tax benefit,-58.0,-349.0
Other,25.0,-142.0
"Accounts receivable, net",-10945.0,2015.0
Inventories,-950.0,-28.0
Vendor non-trade receivables,-10194.0,3902.0
Other current and non-current assets,-3526.0,-7054.0
Accounts payable,21670.0,-1089.0
Deferred revenue,1341.0,985.0
Other current and non-current liabilities,7959.0,5514.0
Cash generated by operating activities,38763.0,30516.0
Purchases of marketable securities,-39800.0,-37416.0
Proceeds from maturities of marketable securities,25177.0,19740.0
Proceeds from sales of marketable securities,9344.0,7280.0
"Payments for acquisition of property, plant and equipment",-3500.0,-2107.0
"Payments made in connection with business acquisitions, net",-9.0,-958.0
Other,204.0,-207.0
Cash used in investing activities,-8584.0,-13668.0
Proceeds from issuance of common stock,0.0,2.0
Payments for taxes related to net share settlement of equity awards,-2861.0,-1379.0
Payments for dividends and dividend equivalents,-3613.0,-3539.0
Repurchases of common stock,-24775.0,-20706.0
"Proceeds from issuance of term debt, net",0.0,2210.0
Repayments of term debt,-1000.0,-1000.0
"Proceeds from/(Repayments of) commercial paper, net",22.0,-979.0
Other,-22.0,-16.0
Cash used in financing activities,-32249.0,-25407.0
"Decrease in cash, cash equivalents and restricted cash",-2070.0,-8559.0
"Cash, cash equivalents and restricted cash, ending balances",37719.0,41665.0
"Cash paid for income taxes, net",1787.0,4393.0
Cash paid for interest,619.0,771.0
