Category,"Jun. 27, 2020 (3 Months Ended)","Jun. 29, 2019 (3 Months Ended)","Jun. 27, 2020 (9 Months Ended)","Jun. 29, 2019 (9 Months Ended)"
Net sales,59685.0,53809.0,209817.0,196134.0
Cost of sales,37005.0,33582.0,129550.0,122055.0
Gross margin,22680.0,20227.0,80267.0,74079.0
Research and development,4758.0,4257.0,13774.0,12107.0
"Selling, general and administrative",4831.0,4426.0,14980.0,13667.0
Total operating expenses,9589.0,8683.0,28754.0,25774.0
Operating income,13091.0,11544.0,51513.0,48305.0
"Other income/(expense), net",46.0,367.0,677.0,1305.0
Income before provision for income taxes,13137.0,11911.0,52190.0,49610.0
Provision for income taxes,1884.0,1867.0,7452.0,8040.0
Net income,11253.0,10044.0,44738.0,41570.0
Basic (in dollars per share),2.61,2.2,10.25,8.92
Diluted (in dollars per share),2.58,2.18,10.16,8.86
Basic (in shares),4312573.0,4570633.0,4362571.0,4660175.0
Diluted (in shares),4354788.0,4601380.0,4404695.0,4691759.0
Products,,,,
Net sales,46529.0,42354.0,170598.0,162354.0
Cost of sales,32693.0,29473.0,116089.0,109758.0
Services,,,,
Net sales,13156.0,11455.0,39219.0,33780.0
Cost of sales,4312.0,4109.0,13461.0,12297.0
