Category,"Mar. 27, 2021 (3 Months Ended)","Mar. 28, 2020 (3 Months Ended)","Mar. 27, 2021 (6 Months Ended)","Mar. 28, 2020 (6 Months Ended)"
Net sales,89584.0,58313.0,201023.0,150132.0
Cost of sales,51505.0,35943.0,118616.0,92545.0
Gross margin,38079.0,22370.0,82407.0,57587.0
Research and development,5262.0,4565.0,10425.0,9016.0
"Selling, general and administrative",5314.0,4952.0,10945.0,10149.0
Total operating expenses,10576.0,9517.0,21370.0,19165.0
Operating income,27503.0,12853.0,61037.0,38422.0
"Other income/(expense), net",508.0,282.0,553.0,631.0
Income before provision for income taxes,28011.0,13135.0,61590.0,39053.0
Provision for income taxes,4381.0,1886.0,9205.0,5568.0
Net income,23630.0,11249.0,52385.0,33485.0
Basic (in dollars per share),1.41,0.64,3.11,1.91
Diluted (in dollars per share),1.4,0.64,3.08,1.89
Basic (in shares),16753476.0,17440402.0,16844298.0,17550281.0
Diluted (in shares),16929157.0,17618765.0,17021423.0,17718591.0
Products,,,,
Net sales,72683.0,44965.0,168361.0,124069.0
Cost of sales,46447.0,31321.0,108577.0,83396.0
Services,,,,
Net sales,16901.0,13348.0,32662.0,26063.0
Cost of sales,5058.0,4622.0,10039.0,9149.0
