Category,"Jun. 29, 2019 (3 Months Ended)","Jun. 30, 2018 (3 Months Ended)","Jun. 29, 2019 (9 Months Ended)","Jun. 30, 2018 (9 Months Ended)"
Net sales,53809.0,53265.0,196134.0,202695.0
Cost of sales,33582.0,32844.0,122055.0,124940.0
Gross margin,20227.0,20421.0,74079.0,77755.0
Research and development,4257.0,3701.0,12107.0,10486.0
"Selling, general and administrative",4426.0,4108.0,13667.0,12489.0
Total operating expenses,8683.0,7809.0,25774.0,22975.0
Operating income,11544.0,12612.0,48305.0,54780.0
"Other income/(expense), net",367.0,672.0,1305.0,1702.0
Income before provision for income taxes,11911.0,13284.0,49610.0,56482.0
Provision for income taxes,1867.0,1765.0,8040.0,11076.0
Net income,10044.0,11519.0,41570.0,45406.0
Basic (in dollars per share),2.2,2.36,8.92,9.07
Diluted (in dollars per share),2.18,2.34,8.86,8.99
Basic (in shares),4570633.0,4882167.0,4660175.0,5006640.0
Diluted (in shares),4601380.0,4926609.0,4691759.0,5050963.0
Products,,,,
Net sales,42354.0,43095.0,162354.0,173546.0
Cost of sales,29473.0,28956.0,109758.0,113467.0
Services,,,,
Net sales,11455.0,10170.0,33780.0,29149.0
Cost of sales,4109.0,3888.0,12297.0,11473.0
