Category,Total (3 Months Ended),Common stock and additional paid-in capital (3 Months Ended),Retained earnings (3 Months Ended),Accumulated other comprehensive income/(loss) (3 Months Ended)
"Beginning balances at Sep. 26, 2020",65339.0,50779.0,14966.0,-406.0
Common stock withheld related to net share settlement of equity awards,,-1101.0,-1873.0,
Share-based compensation,,2066.0,,
Net income,28755.0,,28755.0,
Dividends and dividend equivalents declared,,,-3547.0,
Common stock repurchased,,,-24000.0,
Other comprehensive income/(loss),585.0,,,585.0
"Ending balances at Dec. 26, 2020",66224.0,51744.0,14301.0,179.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.205,,,
"Beginning balances at Sep. 25, 2021",63090.0,57365.0,5562.0,163.0
Common stock withheld related to net share settlement of equity awards,,-1263.0,-1730.0,
Share-based compensation,,2322.0,,
Net income,34630.0,,34630.0,
Dividends and dividend equivalents declared,,,-3665.0,
Common stock repurchased,-20400.0,,-20362.0,
Other comprehensive income/(loss),-1090.0,,,-1090.0
"Ending balances at Dec. 25, 2021",71932.0,58424.0,14435.0,-927.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.22,,,
