Category,Total (3 Months Ended),Common stock and additional paid-in capital (3 Months Ended),Retained earnings (3 Months Ended),Accumulated other comprehensive income/(loss) (3 Months Ended)
"Beginning balances at Sep. 30, 2017",134047.0,35867.0,98330.0,-150.0
Common stock issued,,328.0,,
Common stock withheld related to net share settlement of equity awards,,-1642.0,-807.0,
Share-based compensation,,4071.0,,
Net income,45406.0,,45406.0,
Dividends and dividend equivalents declared,,,-10162.0,
Common stock repurchased,,,-53609.0,
Other comprehensive income/(loss),-2683.0,,,-2683.0
"Ending balances at Jun. 30, 2018",114949.0,38624.0,79436.0,-3111.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),1.99,,,
"Beginning balances at Mar. 31, 2018",126878.0,38044.0,91898.0,-3064.0
Common stock issued,,1.0,,
Common stock withheld related to net share settlement of equity awards,,-797.0,-358.0,
Share-based compensation,,1376.0,,
Net income,11519.0,,11519.0,
Dividends and dividend equivalents declared,,,-3623.0,
Common stock repurchased,,,-20000.0,
Other comprehensive income/(loss),-47.0,,,-47.0
"Ending balances at Jun. 30, 2018",114949.0,38624.0,79436.0,-3111.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.73,,,
"Beginning balances at Sep. 29, 2018",107147.0,40201.0,70400.0,-3454.0
Common stock issued,,391.0,,
Common stock withheld related to net share settlement of equity awards,,-1885.0,-944.0,
Share-based compensation,,4664.0,,
Net income,41570.0,,41570.0,
Dividends and dividend equivalents declared,,,-10605.0,
Common stock repurchased,-49200.0,,-49198.0,
Other comprehensive income/(loss),2726.0,,,2726.0
"Ending balances at Jun. 29, 2019",96456.0,43371.0,53724.0,-639.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),2.23,,,
"Beginning balances at Mar. 30, 2019",105860.0,42801.0,64558.0,-1499.0
Common stock issued,,1.0,,
Common stock withheld related to net share settlement of equity awards,,-958.0,-336.0,
Share-based compensation,,1527.0,,
Net income,10044.0,,10044.0,
Dividends and dividend equivalents declared,,,-3580.0,
Common stock repurchased,,,-16962.0,
Other comprehensive income/(loss),860.0,,,860.0
"Ending balances at Jun. 29, 2019",96456.0,43371.0,53724.0,-639.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.77,,,
