Category,"Mar. 28, 2020 (3 Months Ended)","Mar. 30, 2019 (3 Months Ended)","Mar. 28, 2020 (6 Months Ended)","Mar. 30, 2019 (6 Months Ended)"
Net sales,58313.0,58015.0,150132.0,142325.0
Cost of sales,35943.0,36194.0,92545.0,88473.0
Gross margin,22370.0,21821.0,57587.0,53852.0
Research and development,4565.0,3948.0,9016.0,7850.0
"Selling, general and administrative",4952.0,4458.0,10149.0,9241.0
Total operating expenses,9517.0,8406.0,19165.0,17091.0
Operating income,12853.0,13415.0,38422.0,36761.0
"Other income/(expense), net",282.0,378.0,631.0,938.0
Income before provision for income taxes,13135.0,13793.0,39053.0,37699.0
Provision for income taxes,1886.0,2232.0,5568.0,6173.0
Net income,11249.0,11561.0,33485.0,31526.0
Basic (in dollars per share),2.58,2.47,7.63,6.7
Diluted (in dollars per share),2.55,2.46,7.56,6.66
Basic (in shares),4360101.0,4674071.0,4387570.0,4704945.0
Diluted (in shares),4404691.0,4700646.0,4429648.0,4736949.0
Products,,,,
Net sales,44965.0,46565.0,124069.0,120000.0
Cost of sales,31321.0,32047.0,83396.0,80285.0
Services,,,,
Net sales,13348.0,11450.0,26063.0,22325.0
Cost of sales,4622.0,4147.0,9149.0,8188.0
