Category,Total (3 Months Ended),Common stock and additional paid-in capital (3 Months Ended),Retained earnings (3 Months Ended),Accumulated other comprehensive income/(loss) (3 Months Ended)
"Beginning balances at Sep. 29, 2018",107147.0,40201.0,70400.0,-3454.0
Common stock issued,,391.0,,
Common stock withheld related to net share settlement of equity awards,,-1885.0,-944.0,
Share-based compensation,,4664.0,,
Net income,41570.0,,41570.0,
Dividends and dividend equivalents declared,,,-10605.0,
Common stock repurchased,,,-49198.0,
Other comprehensive income/(loss),2726.0,,,2726.0
"Ending balances at Jun. 29, 2019",96456.0,43371.0,53724.0,-639.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),2.23,,,
"Beginning balances at Mar. 30, 2019",105860.0,42801.0,64558.0,-1499.0
Common stock issued,,1.0,,
Common stock withheld related to net share settlement of equity awards,,-958.0,-336.0,
Share-based compensation,,1527.0,,
Net income,10044.0,,10044.0,
Dividends and dividend equivalents declared,,,-3580.0,
Common stock repurchased,,,-16962.0,
Other comprehensive income/(loss),860.0,,,860.0
"Ending balances at Jun. 29, 2019",96456.0,43371.0,53724.0,-639.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.77,,,
"Beginning balances at Sep. 28, 2019",90488.0,45174.0,45898.0,-584.0
Common stock issued,,430.0,,
Common stock withheld related to net share settlement of equity awards,,-2123.0,-1320.0,
Share-based compensation,,5215.0,,
Net income,44738.0,,44738.0,
Dividends and dividend equivalents declared,,,-10528.0,
Common stock repurchased,-54500.0,,-54516.0,
Other comprehensive income/(loss),-102.0,,,-102.0
"Ending balances at Jun. 27, 2020",72282.0,48696.0,24136.0,-550.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),2.36,,,
"Beginning balances at Mar. 28, 2020",78425.0,48032.0,33182.0,-2789.0
Common stock issued,,0.0,,
Common stock withheld related to net share settlement of equity awards,,-1071.0,-688.0,
Share-based compensation,,1735.0,,
Net income,11253.0,,11253.0,
Dividends and dividend equivalents declared,,,-3611.0,
Common stock repurchased,,,-16000.0,
Other comprehensive income/(loss),2239.0,,,2239.0
"Ending balances at Jun. 27, 2020",72282.0,48696.0,24136.0,-550.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.82,,,
