Category,"Sep. 26, 2020 (12 Months Ended)","Sep. 28, 2019 (12 Months Ended)","Sep. 29, 2018 (12 Months Ended)"
Net sales,274515.0,260174.0,265595.0
Cost of sales,169559.0,161782.0,163756.0
Gross margin,104956.0,98392.0,101839.0
Research and development,18752.0,16217.0,14236.0
"Selling, general and administrative",19916.0,18245.0,16705.0
Total operating expenses,38668.0,34462.0,30941.0
Operating income,66288.0,63930.0,70898.0
"Other income/(expense), net",803.0,1807.0,2005.0
Income before provision for income taxes,67091.0,65737.0,72903.0
Provision for income taxes,9680.0,10481.0,13372.0
Net income,57411.0,55256.0,59531.0
Basic (in dollars per share),3.31,2.99,3.0
Diluted (in dollars per share),3.28,2.97,2.98
Basic (in shares),17352119.0,18471336.0,19821510.0
Diluted (in shares),17528214.0,18595651.0,20000435.0
Products,,,
Net sales,220747.0,213883.0,225847.0
Cost of sales,151286.0,144996.0,148164.0
Services,,,
Net sales,53768.0,46291.0,39748.0
Cost of sales,18273.0,16786.0,15592.0
