Category,"Dec. 29, 2018 (3 Months Ended)","Dec. 30, 2017 (3 Months Ended)"
Net sales,84310.0,88293.0
Cost of sales,52279.0,54381.0
Gross margin,32031.0,33912.0
Research and development,3902.0,3407.0
"Selling, general and administrative",4783.0,4231.0
Total operating expenses,8685.0,7638.0
Operating income,23346.0,26274.0
"Other income/(expense), net",560.0,756.0
Income before provision for income taxes,23906.0,27030.0
Provision for income taxes,3941.0,6965.0
Net income,19965.0,20065.0
Basic (in dollars per share),4.22,3.92
Diluted (in dollars per share),4.18,3.89
Basic (in shares),4735820.0,5112877.0
Diluted (in shares),4773252.0,5157787.0
Products,,
Net sales,73435.0,79164.0
Cost of sales,48238.0,50575.0
Services,,
Net sales,10875.0,9129.0
Cost of sales,4041.0,3806.0
