Category,Total (3 Months Ended),Common stock and additional paid-in capital (3 Months Ended),Retained earnings (3 Months Ended),Accumulated other comprehensive income/(loss) (3 Months Ended)
"Beginning balances at Sep. 26, 2020",65339.0,50779.0,14966.0,-406.0
Common stock issued,,561.0,,
Common stock withheld related to net share settlement of equity awards,,-2460.0,-3606.0,
Share-based compensation,,6109.0,,
Net income,74129.0,,74129.0,
Dividends and dividend equivalents declared,,,-10755.0,
Common stock repurchased,,,-65501.0,
Other comprehensive income/(loss),464.0,,,464.0
"Ending balances at Jun. 26, 2021",64280.0,54989.0,9233.0,58.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.63,,,
"Beginning balances at Mar. 27, 2021",69178.0,54203.0,15261.0,-286.0
Common stock issued,,0.0,,
Common stock withheld related to net share settlement of equity awards,,-1224.0,-1559.0,
Share-based compensation,,2010.0,,
Net income,21744.0,,21744.0,
Dividends and dividend equivalents declared,,,-3713.0,
Common stock repurchased,,,-22500.0,
Other comprehensive income/(loss),344.0,,,344.0
"Ending balances at Jun. 26, 2021",64280.0,54989.0,9233.0,58.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.22,,,
"Beginning balances at Sep. 25, 2021",63090.0,57365.0,5562.0,163.0
Common stock issued,,593.0,,
Common stock withheld related to net share settlement of equity awards,,-2783.0,-3323.0,
Share-based compensation,,6940.0,,
Net income,79082.0,,79082.0,
Dividends and dividend equivalents declared,,,-11058.0,
Common stock repurchased,-65000.0,,-64974.0,
Other comprehensive income/(loss),-9460.0,,,-9460.0
"Ending balances at Jun. 25, 2022",58107.0,62115.0,5289.0,-9297.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.67,,,
"Beginning balances at Mar. 26, 2022",67399.0,61181.0,12712.0,-6494.0
Common stock issued,,0.0,,
Common stock withheld related to net share settlement of equity awards,,-1371.0,-1403.0,
Share-based compensation,,2305.0,,
Net income,19442.0,,19442.0,
Dividends and dividend equivalents declared,,,-3760.0,
Common stock repurchased,,,-21702.0,
Other comprehensive income/(loss),-2803.0,,,-2803.0
"Ending balances at Jun. 25, 2022",58107.0,62115.0,5289.0,-9297.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.23,,,
