Category,"Jun. 25, 2022 (3 Months Ended)","Jun. 26, 2021 (3 Months Ended)","Jun. 25, 2022 (9 Months Ended)","Jun. 26, 2021 (9 Months Ended)"
Net sales,82959.0,81434.0,304182.0,282457.0
Cost of sales,47074.0,46179.0,171495.0,164795.0
Gross margin,35885.0,35255.0,132687.0,117662.0
Research and development,6797.0,5717.0,19490.0,16142.0
"Selling, general and administrative",6012.0,5412.0,18654.0,16357.0
Total operating expenses,12809.0,11129.0,38144.0,32499.0
Operating income,23076.0,24126.0,94543.0,85163.0
"Other income/(expense), net",-10.0,243.0,-97.0,796.0
Income before provision for income taxes,23066.0,24369.0,94446.0,85959.0
Provision for income taxes,3624.0,2625.0,15364.0,11830.0
Net income,19442.0,21744.0,79082.0,74129.0
Basic (in dollars per share),1.2,1.31,4.86,4.42
Diluted (in dollars per share),1.2,1.3,4.82,4.38
Basic (in shares),16162945.0,16629371.0,16277824.0,16772656.0
Diluted (in shares),16262203.0,16781735.0,16394937.0,16941527.0
Products,,,,
Net sales,63355.0,63948.0,245241.0,232309.0
Cost of sales,41485.0,40899.0,155084.0,149476.0
Services,,,,
Net sales,19604.0,17486.0,58941.0,50148.0
Cost of sales,5589.0,5280.0,16411.0,15319.0
