Category,"Sep. 24, 2022 (12 Months Ended)","Sep. 25, 2021 (12 Months Ended)","Sep. 26, 2020 (12 Months Ended)"
Net sales,394328.0,365817.0,274515.0
Cost of sales,223546.0,212981.0,169559.0
Gross margin,170782.0,152836.0,104956.0
Research and development,26251.0,21914.0,18752.0
"Selling, general and administrative",25094.0,21973.0,19916.0
Total operating expenses,51345.0,43887.0,38668.0
Operating income,119437.0,108949.0,66288.0
"Other income/(expense), net",-334.0,258.0,803.0
Income before provision for income taxes,119103.0,109207.0,67091.0
Provision for income taxes,19300.0,14527.0,9680.0
Net income,99803.0,94680.0,57411.0
Basic (in dollars per share),6.15,5.67,3.31
Diluted (in dollars per share),6.11,5.61,3.28
Basic (in shares),16215963.0,16701272.0,17352119.0
Diluted (in shares),16325819.0,16864919.0,17528214.0
Products,,,
Net sales,316199.0,297392.0,220747.0
Cost of sales,201471.0,192266.0,151286.0
Services,,,
Net sales,78129.0,68425.0,53768.0
Cost of sales,22075.0,20715.0,18273.0
