Category,Total (3 Months Ended),Common stock and additional paid-in capital (3 Months Ended),Retained earnings (3 Months Ended),Accumulated other comprehensive income/(loss) (3 Months Ended)
"Beginning balances at Sep. 30, 2017",134047.0,35867.0,98330.0,-150.0
Common stock issued,,327.0,,
Common stock withheld related to net share settlement of equity awards,,-845.0,-449.0,
Share-based compensation,,2695.0,,
Net income,33887.0,,33887.0,
Dividends and dividend equivalents declared,,,-6539.0,
Common stock repurchased,,,-33609.0,
Other comprehensive income/(loss),-2636.0,,,-2636.0
"Ending balances at Mar. 31, 2018",126878.0,38044.0,91898.0,-3064.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),1.26,,,
"Beginning balances at Dec. 30, 2017",140199.0,36447.0,104593.0,-841.0
Common stock issued,,327.0,,
Common stock withheld related to net share settlement of equity awards,,-107.0,-56.0,
Share-based compensation,,1377.0,,
Net income,13822.0,,13822.0,
Dividends and dividend equivalents declared,,,-3239.0,
Common stock repurchased,,,-23500.0,
Other comprehensive income/(loss),-1945.0,,,-1945.0
"Ending balances at Mar. 31, 2018",126878.0,38044.0,91898.0,-3064.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.63,,,
"Beginning balances at Sep. 29, 2018",107147.0,40201.0,70400.0,-3454.0
Common stock issued,,390.0,,
Common stock withheld related to net share settlement of equity awards,,-927.0,-608.0,
Share-based compensation,,3137.0,,
Net income,31526.0,,31526.0,
Dividends and dividend equivalents declared,,,-7025.0,
Common stock repurchased,-32200.0,,-32236.0,
Other comprehensive income/(loss),1866.0,,,1866.0
"Ending balances at Mar. 30, 2019",105860.0,42801.0,64558.0,-1499.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),1.46,,,
"Beginning balances at Dec. 29, 2018",117892.0,40970.0,80510.0,-3588.0
Common stock issued,,390.0,,
Common stock withheld related to net share settlement of equity awards,,-105.0,-14.0,
Share-based compensation,,1546.0,,
Net income,11561.0,,11561.0,
Dividends and dividend equivalents declared,,,-3499.0,
Common stock repurchased,,,-24000.0,
Other comprehensive income/(loss),2089.0,,,2089.0
"Ending balances at Mar. 30, 2019",105860.0,42801.0,64558.0,-1499.0
Dividends and dividend equivalents declared per share or RSU (in dollars per share or RSU),0.73,,,
